Model,Dataset,Family,Epoch,RMSE,MAE,R2,train_loss,val_loss,overfit_epoch
LSTM,FD001,DL,10,22.069546446882267,16.637744903564453,0.7179492712020874,211.86676255317585,653.3905029296875,6
LSTM,FD001,DL,50,22.159918348251463,17.45615005493164,0.7156345844268799,174.0739358004914,574.3328247070312,6
LSTM,FD001,DL,100,21.311552054614943,16.830228805541992,0.7369909882545471,132.1061225438227,506.21282958984375,6
LSTM,FD001,DL,200,21.0548643313539,16.45452117919922,0.743288516998291,95.18982430026956,495.0788269042969,6
LSTM,FD004,DL,10,34.08530808924957,26.690471649169922,0.5900976657867432,449.6300641877361,464.4215715029171,11
LSTM,FD004,DL,50,34.357177553082884,26.731285095214844,0.5835327506065369,102.138164194963,500.31736249817686,11
LSTM,FD004,DL,100,33.93917612113249,26.521331787109375,0.5936048626899719,58.386617740259936,531.3243916942788,11
LSTM,FD004,DL,200,33.51613854501664,26.475685119628906,0.6036728620529175,47.42748610231553,489.5847623441397,11
GRU,FD001,DL,10,20.594533161559603,16.368026733398438,0.7543909549713135,142.72556850137232,603.1118917925317,6
GRU,FD001,DL,50,22.726041481652302,17.77618980407715,0.700919508934021,85.34188237037833,578.6521674854714,6
GRU,FD001,DL,100,21.45292015561343,17.17478370666504,0.7334901094436646,69.9371789296468,507.4862245096449,6
GRU,FD001,DL,200,21.682784125693043,17.189786911010742,0.7277483344078064,53.22032327956805,520.6305945646344,6
GRU,FD004,DL,10,35.573401846679104,28.212066650390625,0.553525447845459,177.5757410809414,527.4416453907088,6
GRU,FD004,DL,50,34.2959122159852,27.028690338134766,0.585016667842865,79.96804203777194,447.6008794577241,6
GRU,FD004,DL,100,35.380679480031894,27.392704010009766,0.5583499670028687,70.09398060254243,461.44731369395265,6
GRU,FD004,DL,200,34.490535598892016,26.893159866333008,0.5802934169769287,57.72074620969817,502.08567284664906,6
CNN1D,FD001,DL,10,26.042305200505005,20.06389617919922,0.6072652339935303,22.15021905724861,927.8592806207506,6
CNN1D,FD001,DL,50,24.23796490778658,19.091794967651367,0.659801185131073,4.101210546547963,647.9082130842041,6
CNN1D,FD001,DL,100,22.706810501786958,17.822084426879883,0.7014254331588745,2.4567446499110357,598.5076976805402,6
CNN1D,FD001,DL,200,21.974594011776915,17.120555877685547,0.7203710079193115,1.8334965499024414,590.6048700265717,6
CNN1D,FD004,DL,10,33.90465866081312,26.274784088134766,0.5944310426712036,364.4834621597386,471.35338019203164,10
CNN1D,FD004,DL,50,33.0539849030151,25.691390991210938,0.6145273447036743,34.525928646381196,358.51575472720293,10
CNN1D,FD004,DL,100,32.86464977872311,25.718616485595703,0.6189306974411011,17.12272164497912,392.5205874828359,10
CNN1D,FD004,DL,200,32.89602093505193,25.90286636352539,0.6182029247283936,9.218233050305095,353.4416975469437,10
TCN,FD001,DL,10,23.97493452236236,18.6771183013916,0.667144775390625,32.48051171324569,778.7925096143756,6
TCN,FD001,DL,50,22.937952354190752,17.66217613220215,0.6953158974647522,10.964491274803196,616.0043600483945,6
TCN,FD001,DL,100,22.373518058247665,17.036706924438477,0.7101261615753174,6.0598355292185255,555.7104785233213,6
TCN,FD001,DL,200,22.130642790976427,17.046112060546875,0.7163854241371155,3.5710519029669565,554.9617066613415,6
TCN,FD004,DL,10,33.906556018204284,25.815624237060547,0.5943856835365295,350.58277755325213,353.17922765224586,17
TCN,FD004,DL,50,33.59622083936674,25.156452178955078,0.6017765998840332,138.68385443862084,362.4525044482648,17
TCN,FD004,DL,100,31.80184524268747,24.206153869628906,0.6431788802146912,99.1497467921656,368.3527443687543,17
TCN,FD004,DL,200,32.005534647102444,23.899457931518555,0.6385934352874756,74.25675623848224,367.3560897437502,17
Transformer,FD001,DL,10,22.128780408402115,17.608253479003906,0.7164331674575806,114.9860208154269,526.5157438453875,6
Transformer,FD001,DL,50,21.3385570011793,16.6868839263916,0.7363240122795105,87.91265180230685,484.0104394983827,6
Transformer,FD001,DL,100,22.0667682441763,17.65739631652832,0.7180202007293701,72.2864530772379,466.1804443503681,6
Transformer,FD001,DL,200,22.62987554295966,18.075899124145508,0.703445315361023,52.91068145836869,500.90840491495635,6
Transformer,FD004,DL,10,31.77288138036803,23.674222946166992,0.6438285112380981,442.4774771396469,313.1404043231866,50
Transformer,FD004,DL,50,31.298940193344606,23.540607452392578,0.6543749570846558,274.79574044721903,325.8508104314301,50
Transformer,FD004,DL,100,32.45558300453194,23.955827713012695,0.628358006477356,184.53643666873188,340.8371955378713,50
Transformer,FD004,DL,200,33.88384556443343,25.126083374023438,0.5949288606643677,113.03021228344318,456.7232495540914,50
