Model,Dataset,Family,Epoch,RMSE,MAE,R2
XGBoost,FD001,ML,10,28.420565012416624,24.194509506225586,0.5322585105895996
XGBoost,FD001,ML,50,14.566175790949783,11.54294204711914,0.8771340250968933
XGBoost,FD001,ML,100,14.354641238904449,10.587581634521484,0.8806767463684082
XGBoost,FD001,ML,200,14.413380742684685,10.765088081359863,0.8796981573104858
ExtraTrees,FD001,ML,10,14.467057104263928,10.789770277130547,0.8788004946881725
ExtraTrees,FD001,ML,50,13.832733116944746,10.281296601214883,0.8891957415402877
ExtraTrees,FD001,ML,100,14.044577274812557,10.416292531514468,0.8857758855514155
ExtraTrees,FD001,ML,200,13.982200782103623,10.330315637295783,0.8867882446300177
HistGradientBoosting,FD001,ML,10,26.61155289030139,22.9322949105581,0.589908382640294
HistGradientBoosting,FD001,ML,50,14.049874637819576,10.745764606476474,0.8856897027207811
HistGradientBoosting,FD001,ML,100,14.119492878526314,10.50297213851463,0.8845540629432846
HistGradientBoosting,FD001,ML,200,14.309604719490016,10.815431643149296,0.8814242909667
XGBoost,FD002,ML,10,41.97395897960872,34.98908996582031,0.3908310532569885
XGBoost,FD002,ML,50,29.646424091714355,21.3962459564209,0.6961057186126709
XGBoost,FD002,ML,100,28.29691382520804,19.77094841003418,0.7231426239013672
XGBoost,FD002,ML,200,27.84360861180432,19.403409957885742,0.7319419384002686
ExtraTrees,FD002,ML,10,30.10626177059837,21.438929096766593,0.6866053731236188
ExtraTrees,FD002,ML,50,29.77447531402571,20.700155059056705,0.6934748500818322
ExtraTrees,FD002,ML,100,29.51867531345231,20.426172823339247,0.6987190947857381
ExtraTrees,FD002,ML,200,29.59932338963891,20.469734901554403,0.6970705846754949
HistGradientBoosting,FD002,ML,10,40.991419223903435,34.006774656082726,0.41901651252219474
HistGradientBoosting,FD002,ML,50,29.947656637764293,21.783138921174007,0.6898987123495479
HistGradientBoosting,FD002,ML,100,28.733350227458235,20.346892753233405,0.7145366143808431
HistGradientBoosting,FD002,ML,200,28.29355151459891,19.846859507976657,0.723208461452306
XGBoost,FD003,ML,10,30.67932641594234,26.8317928314209,0.45073390007019043
XGBoost,FD003,ML,50,18.02970215816416,14.258871078491211,0.8102996349334717
XGBoost,FD003,ML,100,17.90840069435815,13.229233741760254,0.8128435611724854
XGBoost,FD003,ML,200,18.009942593649832,13.351200103759766,0.8107151985168457
ExtraTrees,FD003,ML,10,17.379228432731335,12.722055670595923,0.8237406606328946
ExtraTrees,FD003,ML,50,16.95453742671009,12.553721157553023,0.8322498004469
ExtraTrees,FD003,ML,100,17.14329727933444,12.611678088994099,0.8284937831334289
ExtraTrees,FD003,ML,200,17.206620309483696,12.732507050263663,0.8272244414472005
HistGradientBoosting,FD003,ML,10,28.82230490679435,25.024023141949428,0.5152156724891412
HistGradientBoosting,FD003,ML,50,17.4863399112922,13.430195184097343,0.821561326011865
HistGradientBoosting,FD003,ML,100,17.30151038903445,12.888976400582239,0.8253135615141693
HistGradientBoosting,FD003,ML,200,17.21062539026003,12.822889271382035,0.8271440002461119
XGBoost,FD004,ML,10,42.93722565187098,36.713993072509766,0.3798512816429138
XGBoost,FD004,ML,50,30.935069348960575,23.702455520629883,0.6780932545661926
XGBoost,FD004,ML,100,29.615023578954503,21.921422958374023,0.7049795985221863
XGBoost,FD004,ML,200,29.39023458007566,21.581716537475586,0.7094411849975586
ExtraTrees,FD004,ML,10,31.754802664657916,23.743191503286983,0.6608071317179609
ExtraTrees,FD004,ML,50,31.18004025878469,23.43049651608755,0.6729748005935046
ExtraTrees,FD004,ML,100,31.071354235421552,23.43932023813566,0.675250687406365
ExtraTrees,FD004,ML,200,30.93617028790302,23.28771438057529,0.6780703516290629
HistGradientBoosting,FD004,ML,10,42.03509376246577,35.77326688770145,0.4056367936140427
HistGradientBoosting,FD004,ML,50,31.055570831622603,23.678355041269448,0.6755805312651112
HistGradientBoosting,FD004,ML,100,30.105023394625306,22.33787864580034,0.6951362313188738
HistGradientBoosting,FD004,ML,200,29.693825352728307,21.755884755078906,0.7034074925401843
