Dataset,Feature,Importance
FD001,sensor_11,0.1801936201028321
FD001,sensor_4,0.13211753080021602
FD001,sensor_20,0.09017568757546478
FD001,sensor_15,0.0790156041003775
FD001,sensor_21,0.07807056659595044
FD001,sensor_12,0.07800209406549198
FD001,sensor_2,0.07349636503486959
FD001,sensor_9,0.06156046974915845
FD001,sensor_17,0.058070186414359085
FD001,sensor_7,0.048008423522006606
FD001,sensor_14,0.040665869498965904
FD001,sensor_3,0.034658269180212475
FD001,sensor_13,0.017691641944108005
FD001,sensor_8,0.015436662777241292
FD001,op_setting_1,0.005326703286256585
FD001,op_setting_2,0.005275677467004986
FD001,sensor_6,0.002234627885484324
FD002,sensor_15,0.14688138383874402
FD002,sensor_11,0.1466098523807178
FD002,sensor_13,0.12539200846739432
FD002,sensor_4,0.10455822362963833
FD002,sensor_14,0.06972748116982849
FD002,sensor_16,0.04319288329752534
FD002,sensor_17,0.039325557480291914
FD002,sensor_9,0.03480154815814331
FD002,sensor_3,0.03267350224927263
FD002,sensor_10,0.03064741768824826
FD002,op_setting_2,0.029494453279007706
FD002,sensor_2,0.02606893868871195
FD002,sensor_8,0.0249185941460415
FD002,sensor_12,0.02135585998474646
FD002,sensor_20,0.020209345877540315
FD002,sensor_7,0.01969303341939135
FD002,sensor_21,0.019477575988941898
FD002,sensor_6,0.015811749272979722
FD002,op_setting_1,0.014308820043545995
FD002,sensor_1,0.009429283138069892
FD002,sensor_18,0.009375889619090274
FD002,sensor_5,0.00881250720595951
FD002,sensor_19,0.004221850633434796
FD002,op_setting_3,0.0030122403427343034
FD003,sensor_11,0.30715902236744325
FD003,sensor_17,0.1267994492111968
FD003,sensor_4,0.11726153332675554
FD003,sensor_3,0.09055506156428433
FD003,sensor_9,0.05352449580474325
FD003,sensor_14,0.04734665631273132
FD003,sensor_13,0.04551939287459561
FD003,sensor_12,0.04324275398199303
FD003,sensor_8,0.0430103730101191
FD003,sensor_2,0.03963590143195673
FD003,sensor_7,0.030702250735811256
FD003,sensor_15,0.012100858095209329
FD003,sensor_6,0.010798445801515667
FD003,sensor_20,0.009654832584374952
FD003,sensor_21,0.009348109571136937
FD003,sensor_10,0.0048521095190980365
FD003,op_setting_1,0.004408983964911724
FD003,op_setting_2,0.004079769842123073
FD004,sensor_13,0.18348364231382203
FD004,sensor_14,0.13016458645815654
FD004,sensor_11,0.12690984138746356
FD004,sensor_15,0.0836394546764961
FD004,sensor_4,0.07530796618349522
FD004,sensor_9,0.0402778220613839
FD004,sensor_16,0.037580822367689455
FD004,sensor_17,0.03525173591681144
FD004,sensor_10,0.03205896920658804
FD004,op_setting_2,0.028527412666633126
FD004,sensor_3,0.028504721789161705
FD004,sensor_8,0.02815965238549426
FD004,sensor_6,0.025349049621955538
FD004,sensor_12,0.021354816078191577
FD004,sensor_7,0.021097768964000414
FD004,sensor_2,0.01977927687803388
FD004,op_setting_1,0.015776150518830134
FD004,sensor_21,0.01553624890717642
FD004,sensor_20,0.013274636696829063
FD004,sensor_5,0.009487875728793147
FD004,sensor_18,0.009262460675696986
FD004,sensor_1,0.008553117060209128
FD004,op_setting_3,0.005694163375246322
FD004,sensor_19,0.00496780808184215
