Model,Dataset,Family,RMSE,MAE,R2
Ridge,FD001,ML,17.78514965430819,14.374727100811583,0.8168295114893801
ElasticNet,FD001,ML,17.669149949563305,14.293543401797663,0.8192110973867668
RandomForest,FD001,ML,14.14122906915835,10.532476382513808,0.8841983438781891
ExtraTrees,FD001,ML,13.889395226674411,10.200879294962707,0.8882861220310057
HistGradientBoosting,FD001,ML,14.303760787189775,10.895886504467017,0.8815211220018304
XGBoost,FD001,ML,14.34642838215208,10.719351768493652,0.8808132410049438
Ridge,FD002,ML,28.50935548450118,20.21777113783445,0.7189700035776063
ElasticNet,FD002,ML,30.81393881033889,22.121601525066826,0.6716989203231529
RandomForest,FD002,ML,28.7526563199272,20.09812410600101,0.7141528767399343
ExtraTrees,FD002,ML,29.48009179338241,20.37462382657008,0.6995061816464583
HistGradientBoosting,FD002,ML,28.27567429796456,19.75991508379276,0.7235581311655932
XGBoost,FD002,ML,27.712896612802403,19.27054214477539,0.7344527840614319
Ridge,FD003,ML,20.332267557645277,16.327231848922704,0.758752519240413
ElasticNet,FD003,ML,20.259238818262048,16.278234907613445,0.7604824157693872
RandomForest,FD003,ML,17.62738080157525,13.19378033497027,0.8186712248408006
ExtraTrees,FD003,ML,17.157528825148983,12.680651068306128,0.8282089124157164
HistGradientBoosting,FD003,ML,17.12894766076703,12.852317693594536,0.8287807779578494
XGBoost,FD003,ML,18.04590602106455,13.396751403808594,0.8099584579467773
Ridge,FD004,ML,31.247742412251856,24.603468559529773,0.671553099594236
ElasticNet,FD004,ML,34.32359822261716,27.678059283162764,0.6037096516051008
RandomForest,FD004,ML,30.18937848201389,22.198327867922465,0.6934253647230582
ExtraTrees,FD004,ML,30.674567527186685,22.835944271073068,0.6834919408409563
HistGradientBoosting,FD004,ML,29.389337719109143,21.66118150328756,0.7094589679457861
XGBoost,FD004,ML,29.393271619605503,21.57194328308105,0.7093812227249146
LSTM,FD001,DL,17.685154196531002,13.869900703430176,0.8188834190368652
LSTM,FD002,DL,29.980436940129703,22.43760108947754,0.684974193572998
LSTM,FD003,DL,21.325323906034008,16.55994415283203,0.7346112728118896
LSTM,FD004,DL,33.874812614795374,26.55185317993164,0.5951448082923889
GRU,FD001,DL,19.780958417578475,15.72866439819336,0.7734129428863525
GRU,FD002,DL,29.36245784439821,21.626052856445312,0.6978274583816528
GRU,FD003,DL,20.37244160509793,15.567320823669434,0.7577982544898987
GRU,FD004,DL,35.12735270701629,26.708473205566406,0.5646517872810364
CNN1D,FD001,DL,23.8721915785233,19.16402053833008,0.6699915528297424
CNN1D,FD002,DL,29.419666630809548,21.686561584472656,0.6966487765312195
CNN1D,FD003,DL,25.04842478050017,18.737754821777344,0.633855938911438
CNN1D,FD004,DL,33.95745521455395,26.47955894470215,0.5931669473648071
TCN,FD001,DL,21.8643989379532,17.256662368774414,0.7231684923171997
TCN,FD002,DL,27.78555686701557,20.21742820739746,0.7294120788574219
TCN,FD003,DL,24.332553938136947,18.42276382446289,0.6544853448867798
TCN,FD004,DL,30.952763162006736,23.241090774536133,0.6619781255722046
Transformer,FD001,DL,18.984619339991387,15.024377822875977,0.7912895083427429
Transformer,FD002,DL,26.57176309073224,19.123401641845703,0.7525365948677063
Transformer,FD003,DL,18.290053636108308,13.646309852600098,0.804781436920166
Transformer,FD004,DL,30.01296005055306,22.165817260742188,0.6821929216384888
TemporalGCN,FD001,Graph,18.69319928377405,14.6780366897583,0.7976478934288025
TemporalGCN,FD002,Graph,30.18800243014857,21.93646812438965,0.6805970072746277
TemporalGCN,FD003,Graph,18.537882192199707,14.060534477233888,0.7994552254676819
TemporalGCN,FD004,Graph,31.80293438886084,24.44040870666504,0.6431544423103333
TemporalGAT,FD001,Graph,16.59958627943593,13.068063735961914,0.8404359817504883
TemporalGAT,FD002,Graph,29.91687090989067,22.1787223815918,0.6863086223602295
TemporalGAT,FD003,Graph,19.583360171468755,14.822845458984377,0.7761971950531006
TemporalGAT,FD004,Graph,32.695711056411895,25.22838020324707,0.6228383779525757
