Model,Dataset,RMSE_last,MAE_last,R2_last,Family
Ridge,FD001,17.78514965430819,14.374727100811583,0.8168295114893801,ML
ElasticNet,FD001,17.669149949563305,14.293543401797663,0.8192110973867668,ML
RandomForest,FD001,14.14122906915835,10.532476382513808,0.8841983438781891,ML
ExtraTrees,FD001,13.889395226674411,10.200879294962707,0.8882861220310057,ML
HistGradientBoosting,FD001,14.303760787189775,10.895886504467017,0.8815211220018304,ML
XGBoost,FD001,14.34642838215208,10.719351768493652,0.8808132410049438,ML
Ridge,FD002,28.50935548450118,20.21777113783445,0.7189700035776063,ML
ElasticNet,FD002,30.81393881033889,22.121601525066826,0.6716989203231529,ML
RandomForest,FD002,28.7526563199272,20.09812410600101,0.7141528767399343,ML
ExtraTrees,FD002,29.48009179338241,20.37462382657008,0.6995061816464583,ML
HistGradientBoosting,FD002,28.27567429796456,19.75991508379276,0.7235581311655932,ML
XGBoost,FD002,27.712896612802403,19.27054214477539,0.7344527840614319,ML
Ridge,FD003,20.332267557645277,16.327231848922704,0.758752519240413,ML
ElasticNet,FD003,20.259238818262048,16.278234907613445,0.7604824157693872,ML
RandomForest,FD003,17.62738080157525,13.19378033497027,0.8186712248408006,ML
ExtraTrees,FD003,17.157528825148983,12.680651068306128,0.8282089124157164,ML
HistGradientBoosting,FD003,17.12894766076703,12.852317693594536,0.8287807779578494,ML
XGBoost,FD003,18.04590602106455,13.396751403808594,0.8099584579467773,ML
Ridge,FD004,31.247742412251856,24.603468559529773,0.671553099594236,ML
ElasticNet,FD004,34.32359822261716,27.678059283162764,0.6037096516051008,ML
RandomForest,FD004,30.18937848201389,22.198327867922465,0.6934253647230582,ML
ExtraTrees,FD004,30.674567527186685,22.835944271073068,0.6834919408409563,ML
HistGradientBoosting,FD004,29.389337719109143,21.66118150328756,0.7094589679457861,ML
XGBoost,FD004,29.393271619605503,21.57194328308105,0.7093812227249146,ML
LSTM,FD001,17.685154196531002,13.869900703430176,0.8188834190368652,DL
LSTM,FD002,29.980436940129703,22.43760108947754,0.684974193572998,DL
LSTM,FD003,21.325323906034008,16.55994415283203,0.7346112728118896,DL
LSTM,FD004,33.874812614795374,26.55185317993164,0.5951448082923889,DL
GRU,FD001,19.780958417578475,15.72866439819336,0.7734129428863525,DL
GRU,FD002,29.36245784439821,21.626052856445312,0.6978274583816528,DL
GRU,FD003,20.37244160509793,15.567320823669434,0.7577982544898987,DL
GRU,FD004,35.12735270701629,26.708473205566406,0.5646517872810364,DL
CNN1D,FD001,23.8721915785233,19.16402053833008,0.6699915528297424,DL
CNN1D,FD002,29.419666630809548,21.686561584472656,0.6966487765312195,DL
CNN1D,FD003,25.04842478050017,18.737754821777344,0.633855938911438,DL
CNN1D,FD004,33.95745521455395,26.47955894470215,0.5931669473648071,DL
TCN,FD001,21.8643989379532,17.256662368774414,0.7231684923171997,DL
TCN,FD002,27.78555686701557,20.21742820739746,0.7294120788574219,DL
TCN,FD003,24.332553938136947,18.42276382446289,0.6544853448867798,DL
TCN,FD004,30.952763162006736,23.241090774536133,0.6619781255722046,DL
Transformer,FD001,18.984619339991387,15.024377822875977,0.7912895083427429,DL
Transformer,FD002,26.57176309073224,19.123401641845703,0.7525365948677063,DL
Transformer,FD003,18.290053636108308,13.646309852600098,0.804781436920166,DL
Transformer,FD004,30.01296005055306,22.165817260742188,0.6821929216384888,DL
