Model,Dataset,RMSE_last,MAE_last,R2_last,RMSE_all,MAE_all,R2_all,seq_len,n_features,device,train_minutes
LSTM,FD001,17.685154196531002,13.869900703430176,0.8188834190368652,52.06030767067772,37.91069412231445,0.0860455632209777,30,17,cuda,0.86
LSTM,FD002,29.980436940129703,22.43760108947754,0.684974193572998,55.8091469982464,41.72518157958984,0.1128496527671814,30,24,cuda,4.12
LSTM,FD003,21.325323906034008,16.55994415283203,0.7346112728118896,87.31536043542826,59.64970397949219,-0.1660821437835693,30,18,cuda,0.36
LSTM,FD004,33.874812614795374,26.55185317993164,0.5951448082923889,102.9149992484696,74.68731689453125,-0.3366051912307739,30,24,cuda,1.64
GRU,FD001,19.780958417578475,15.72866439819336,0.7734129428863525,49.41575898767644,36.42841720581055,0.1765409708023071,30,17,cuda,0.3
GRU,FD002,29.36245784439821,21.626052856445312,0.6978274583816528,56.20321404983215,42.01311492919922,0.1002771854400634,30,24,cuda,1.31
GRU,FD003,20.37244160509793,15.567320823669434,0.7577982544898987,86.90567972214906,59.2369270324707,-0.1551653146743774,30,18,cuda,0.34
GRU,FD004,35.12735270701629,26.708473205566406,0.5646517872810364,105.64314285751112,77.56547546386719,-0.4084078073501587,30,24,cuda,1.58
CNN1D,FD001,23.8721915785233,19.16402053833008,0.6699915528297424,48.213952390134175,36.376197814941406,0.2161074876785278,30,17,cuda,0.24
CNN1D,FD002,29.419666630809548,21.686561584472656,0.6966487765312195,55.18433022819408,41.20132827758789,0.1326028108596801,30,24,cuda,1.67
CNN1D,FD003,25.04842478050017,18.737754821777344,0.633855938911438,85.99589777189229,59.64963912963867,-0.131105899810791,30,18,cuda,0.28
CNN1D,FD004,33.95745521455395,26.47955894470215,0.5931669473648071,102.29737021607644,74.31231689453125,-0.3206104040145874,30,24,cuda,1.5
TCN,FD001,21.864398937953197,17.256662368774414,0.7231684923171997,48.20460390762095,35.10544967651367,0.2164114117622375,30,17,cuda,1.11
TCN,FD002,27.78555686701557,20.21742820739746,0.7294120788574219,54.26988087975802,40.154415130615234,0.1611116528511047,30,24,cuda,3.56
TCN,FD003,24.332553938136947,18.42276382446289,0.6544853448867798,86.1823557202981,59.71117401123047,-0.1360162496566772,30,18,cuda,0.47
TCN,FD004,30.952763162006736,23.241090774536133,0.6619781255722046,101.50273241396016,73.08060455322266,-0.3001734018325805,30,24,cuda,9.12
Transformer,FD001,18.984619339991387,15.024377822875977,0.7912895083427429,44.76852357544305,32.25177764892578,0.32414019107818604,30,17,cuda,0.99
Transformer,FD002,26.571763090732237,19.123401641845703,0.7525365948677063,51.57214161750145,37.779296875,0.24244040250778198,30,24,cuda,10.75
Transformer,FD003,18.290053636108308,13.646309852600098,0.804781436920166,84.19676777124523,55.917823791503906,-0.08427298069000244,30,18,cuda,1.52
Transformer,FD004,30.01296005055306,22.165817260742188,0.6821929216384888,100.7840648831699,72.2063980102539,-0.281827449798584,30,24,cuda,5.47
